tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,primaryName
tt0095497,The Last Temptation of Christ,The Last Temptation of Christ,The Last Temptation of Christ,1988.0,164,Drama,,Martin Scorsese
tt0082971,Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115,Action,Adventure,Steven Spielberg
tt0082971,Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115,Action,Adventure,Steven Spielberg
tt0082971,The Adventures of Indiana Smith,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115,Action,Adventure,Steven Spielberg
tt0082971,Indiana Jones and the Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115,Action,Adventure,Steven Spielberg
tt0082971,Indiana Jones and the Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark,Raiders of the Lost Ark,1981.0,115,Action,Adventure,Steven Spielberg
tt0083866,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0083866,E.T. and Me,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0083866,A Boy's Life,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0083866,Night Skies,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0083866,E.T.,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0083866,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,1982.0,115,Family,Sci-Fi,Steven Spielberg
tt0087469,Indiana Jones 2,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984.0,118,Action,Adventure,Steven Spielberg
tt0087469,Indy II,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984.0,118,Action,Adventure,Steven Spielberg
tt0087469,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984.0,118,Action,Adventure,Steven Spielberg
tt0087469,Raiders 2,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984.0,118,Action,Adventure,Steven Spielberg
tt0087469,The Temple of Doom,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,1984.0,118,Action,Adventure,Steven Spielberg
tt0088939,The Color Purple,The Color Purple,The Color Purple,1985.0,154,Drama,,Steven Spielberg
tt0088939,Moon Song,The Color Purple,The Color Purple,1985.0,154,Drama,,Steven Spielberg
tt0092965,Empire of the Sun,Empire of the Sun,Empire of the Sun,1987.0,153,Action,Drama,Steven Spielberg
tt0096794,Always,Always,Always,1989.0,122,Drama,Fantasy,Steven Spielberg
tt0097576,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989.0,127,Action,Adventure,Steven Spielberg
tt0097576,Indiana Jones 3,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989.0,127,Action,Adventure,Steven Spielberg
tt0084602,"Rocky, Part 3",Rocky III,Rocky III,1982.0,99,Drama,Sport,Sylvester Stallone
tt0084602,Rocky III,Rocky III,Rocky III,1982.0,99,Drama,Sport,Sylvester Stallone
tt0084602,"Rocky, Part III",Rocky III,Rocky III,1982.0,99,Drama,Sport,Sylvester Stallone
tt0086361,Saturday Night Fever 2,Staying Alive,Staying Alive,1983.0,93,Drama,Music,Sylvester Stallone
tt0086361,Saturday Night Fever II,Staying Alive,Staying Alive,1983.0,93,Drama,Music,Sylvester Stallone
tt0086361,Staying Alive,Staying Alive,Staying Alive,1983.0,93,Drama,Music,Sylvester Stallone
tt0089927,Rocky IV,Rocky IV,Rocky IV,1985.0,91,Drama,Sport,Sylvester Stallone
tt0082497,The Hand,The Hand,The Hand,1981.0,104,Drama,Horror,Oliver Stone
tt0091763,The Platoon,Platoon,Platoon,1986.0,120,Drama,War,Oliver Stone
tt0091763,Platoon,Platoon,Platoon,1986.0,120,Drama,War,Oliver Stone
tt0091886,Outpost: Salvador,Salvador,Salvador,1986.0,122,Drama,History,Oliver Stone
tt0094291,Wall Street,Wall Street,Wall Street,1987.0,126,Crime,Drama,Oliver Stone
tt0096219,Talk Radio,Talk Radio,Talk Radio,1988.0,110,Drama,,Oliver Stone
tt0096969,Born on the Fourth of July,Born on the Fourth of July,Born on the Fourth of July,1989.0,145,Biography,Drama,Oliver Stone
tt0359715,My Best Friend's Birthday,My Best Friend's Birthday,My Best Friend's Birthday,1987.0,90,Comedy,,Quentin Tarantino
tt0092263,A Better Tomorrow,A Better Tomorrow,Ying hung boon sik,1986.0,95,Action,Crime,John Woo
tt0094357,A Better Tomorrow II,A Better Tomorrow II,Ying hung boon sik II,1987.0,105,Action,Crime,John Woo
tt0097202,The Killer,The Killer,Dip huet seung hung,1989.0,111,Action,Crime,John Woo
tt0082405,The Four Seasons,The Four Seasons,The Four Seasons,1981.0,107,Comedy,Drama,Alan Alda
tt0092035,Sweet Liberty - What a Liberty,Sweet Liberty,Sweet Liberty,1986.0,106,Comedy,,Alan Alda
tt0092035,Sweet Liberty,Sweet Liberty,Sweet Liberty,1986.0,106,Comedy,,Alan Alda
tt0095726,A New Life,A New Life,A New Life,1988.0,104,Comedy,,Alan Alda
tt0095726,Alan Alda's A New Life,A New Life,A New Life,1988.0,104,Comedy,,Alan Alda
tt0084228,Labyrinth of Passion,Labyrinth of Passion,Laberinto de pasiones,1982.0,100,Comedy,Drama,Pedro Almodóvar
tt0085496,Dark Habits,Dark Habits,Entre tinieblas,1983.0,114,Comedy,Drama,Pedro Almodóvar
tt0088461,What Have I Done to Deserve This?,What Have I Done to Deserve This?,¿Qué he hecho yo para merecer esto?,1984.0,101,Comedy,Drama,Pedro Almodóvar
tt0091495,Matador,Matador,Matador,1986.0,110,Drama,Thriller,Pedro Almodóvar
tt0093412,Law of Desire,Law of Desire,La ley del deseo,1987.0,102,Comedy,Drama,Pedro Almodóvar
tt0095675,Women on the Verge of a Nervous Breakdown,Women on the Verge of a Nervous Breakdown,"Mujeres al borde de un ataque de ""nervios""",1988.0,88,Comedy,Drama,Pedro Almodóvar
tt0101026,Tie Me Up! Tie Me Down!,Tie Me Up! Tie Me Down!,¡Átame!,1989.0,101,Comedy,Crime,Pedro Almodóvar
tt0079256,Health!,HealtH,HealtH,1980.0,105,Comedy,,Robert Altman
tt0079256,H.E.A.L.T.H.,HealtH,HealtH,1980.0,105,Comedy,,Robert Altman
tt0079256,Health,HealtH,HealtH,1980.0,105,Comedy,,Robert Altman
tt0079256,HealtH,HealtH,HealtH,1980.0,105,Comedy,,Robert Altman
tt0081353,Popeye,Popeye,Popeye,1980.0,114,Adventure,Comedy,Robert Altman
tt0083745,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982.0,109,Comedy,Drama,Robert Altman
tt0083745,"Come Back to the 5 and Dime, Jimmy Dean, Jimmy Dean","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean","Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982.0,109,Comedy,Drama,Robert Altman
tt0086377,Streamers,Streamers,Streamers,1983.0,118,Crime,Drama,Robert Altman
tt0088074,Secret Honor,Secret Honor,Secret Honor,1984.0,90,Biography,Comedy,Robert Altman
tt0089160,Fool for Love,Fool for Love,Fool for Love,1985.0,106,Drama,,Robert Altman
tt0089715,O.C. and Stiggs,O.C. and Stiggs,O.C. and Stiggs,1985.0,109,Comedy,Romance,Robert Altman
tt0089715,The Utterly Monstrous Mind - Roasting Summer of O.C. & Stiggs,O.C. and Stiggs,O.C. and Stiggs,1985.0,109,Comedy,Romance,Robert Altman
tt0092646,Beyond Therapy,Beyond Therapy,Beyond Therapy,1987.0,93,Comedy,,Robert Altman
tt0082484,Quest for Fire,Quest for Fire,La guerre du feu,1981.0,100,Adventure,Drama,Jean-Jacques Annaud
tt0091605,The Name of the Rose,The Name of the Rose,Der Name der Rose,1986.0,130,Crime,Drama,Jean-Jacques Annaud
tt0095800,The Bear,The Bear,L'ours,1988.0,96,Adventure,Drama,Jean-Jacques Annaud
tt0083987,Gandhi,Gandhi,Gandhi,1982.0,191,Biography,Drama,Richard Attenborough
tt0083987,Richard Attenborough's Film: Gandhi,Gandhi,Gandhi,1982.0,191,Biography,Drama,Richard Attenborough
tt0088915,A Chorus Line,A Chorus Line,A Chorus Line,1985.0,113,Drama,Music,Richard Attenborough
tt0092804,Cry Freedom,Cry Freedom,Cry Freedom,1987.0,157,Biography,Drama,Richard Attenborough
tt0082517,The Roman Empire,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,The Stone Age,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,Mel Brooks' History of the World: Part 1,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
tt0082517,Hitler on Ice,History of the World: Part I,History of the World: Part I,1981.0,92,Comedy,History,Mel Brooks
