tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,genre3
tt0158785,Mind Killer,Mindkiller,Mindkiller,1987.0,84,Horror,Sci-Fi,
tt0158785,Mindkiller,Mindkiller,Mindkiller,1987.0,84,Horror,Sci-Fi,
tt0158785,The Brain Creatures,Mindkiller,Mindkiller,1987.0,84,Horror,Sci-Fi,
tt0161837,Mutilations,Mutilations,Mutilations,1986.0,70,Horror,Sci-Fi,
tt0171245,Driving Force,Driving Force,Driving Force,1989.0,90,Action,Sci-Fi,
tt0175663,Escape from Galaxy 3,Escape from Galaxy 3,Giochi erotici nella terza galassia,1981.0,92,Adventure,Sci-Fi,
tt0188535,Defenders of the Vortex,Cyborg 009: Legend of the Super Galaxy,Cyborg 009 gekijô ban: chô ginga densetsu,1980.0,130,Animation,Sci-Fi,
tt0188535,Cyborg 009: Legend of the Super Galaxy,Cyborg 009: Legend of the Super Galaxy,Cyborg 009 gekijô ban: chô ginga densetsu,1980.0,130,Animation,Sci-Fi,
tt0190520,Land of Doom,Land of Doom,Land of Doom,1985.0,87,Adventure,Sci-Fi,Thriller
tt0200280,"What's Up, Hideous Sun Demon","What's Up, Hideous Sun Demon","What's Up, Hideous Sun Demon",1983.0,71,Comedy,Sci-Fi,
tt0200280,Revenge of the Sun Demon,"What's Up, Hideous Sun Demon","What's Up, Hideous Sun Demon",1983.0,71,Comedy,Sci-Fi,
tt0200940,Over-sexed Rugsuckers from Mars,Over-sexed Rugsuckers from Mars,Over-sexed Rugsuckers from Mars,1989.0,87,Comedy,Sci-Fi,
tt0200940,Vacusapien,Over-sexed Rugsuckers from Mars,Over-sexed Rugsuckers from Mars,1989.0,87,Comedy,Sci-Fi,
tt0220767,Space Patrol,Space Patrol,Space Patrol,1984.0,\N,Adventure,Sci-Fi,
tt0222817,Entrails of a Virgin,Entrails of a Virgin,Shojo no harawata,1986.0,72,Horror,Sci-Fi,
tt0222817,Guts of a Virgin,Entrails of a Virgin,Shojo no harawata,1986.0,72,Horror,Sci-Fi,
tt0226408,Savannah,Savannah,Savannah,1989.0,92,Action,Sci-Fi,Thriller
tt0228196,Death Collector,Death Collector,Death Collector,1988.0,92,Action,Sci-Fi,Western
tt0228196,Tin Star Void,Death Collector,Death Collector,1988.0,92,Action,Sci-Fi,Western
tt0233723,Fertilichrome 76 6 6,Fertilichrome 76 6 6,The Fertilichrome Cheerleader Massacre,1989.0,\N,Comedy,Sci-Fi,
tt0233723,The Power Landscape,Fertilichrome 76 6 6,The Fertilichrome Cheerleader Massacre,1989.0,\N,Comedy,Sci-Fi,
tt0233723,Cairo's Ride,Fertilichrome 76 6 6,The Fertilichrome Cheerleader Massacre,1989.0,\N,Comedy,Sci-Fi,
tt0238318,It Came from Somewhere Else,It Came from Somewhere Else,It Came from Somewhere Else,1988.0,89,Comedy,Sci-Fi,
tt0243036,Years of the Beast,Years of the Beast,Years of the Beast,1981.0,98,Horror,Sci-Fi,
tt0243430,Going Nuclear,Mutants in Paradise,Mutants in Paradise,1984.0,\N,Comedy,Sci-Fi,
tt0243430,Mutants in Paradise,Mutants in Paradise,Mutants in Paradise,1984.0,\N,Comedy,Sci-Fi,
tt0256345,Rock of Ages,Rock of Ages,Rock of Ages,1984.0,\N,Music,Sci-Fi,Thriller
tt0264701,Illegal Alien,Illegal Alien,Illegal Alien,1982.0,\N,Comedy,Sci-Fi,
tt0287516,Nurse Diary: Beast Afternoon,Nurse Diary: Beast Afternoon,Kangofu nikki: Kemonojimita gogo,1982.0,66,Crime,Sci-Fi,
tt0323727,Project Nightmare,Project Nightmare,Project Nightmare,1987.0,74,Horror,Sci-Fi,Thriller
tt0323727,Touchstone,Project Nightmare,Project Nightmare,1987.0,74,Horror,Sci-Fi,Thriller
tt0347544,Alien High,Mind Benders,Mind Benders,1987.0,\N,Comedy,Sci-Fi,
tt0347544,Invasion of the Mindbenders,Mind Benders,Mind Benders,1987.0,\N,Comedy,Sci-Fi,
tt0400352,Space Runaway Ideon: A Contact,The Ideon: A Contact,Densetsu-kyoshin ideon: Sesshoku-hen,1982.0,85,Animation,Sci-Fi,
tt10185818,The Case of the Missing Consciousness,The Case of the Missing Consciousness,The Case of the Missing Consciousness,1980.0,79,Comedy,Sci-Fi,
tt2199311,King of Snakes,King of Snakes,Da she wang,1984.0,80,Fantasy,Sci-Fi,
tt3919090,Plan 15: The Terror of the Time Machine,Plan 15: The Terror of the Time Machine,Plan 15: The Terror of the Time Machine,1986.0,50,Crime,Sci-Fi,
tt7392160,Wonder boy,Wonder boy,Pi li bei bei,1988.0,90,Drama,Sci-Fi,
